population,households,median_income,median_house_value,total_bedrooms,total_rooms,latitude,longitude,housing_median_age
1885,602,40887.0,83600.0,795,795,35.046478799999996,-78.2927558,28.0
900,369,31964.0,114300.0,393,393,35.0080047,-78.32030999999999,62.0
1157,360,31667.0,115500.0,451,451,35.1054906,-78.21245859999999,30.0
1252,431,43203.0,72300.0,467,467,35.0970289,-78.3001668,27.0
1042,329,,132900.0,516,516,35.1325119,-78.3293276,36.0
814,298,45833.0,,298,298,35.0411172,-78.1815847,24.0
1296,563,34345.0,126500.0,650,650,35.2558218,-78.3631439,44.0
2274,670,67143.0,98400.0,772,772,35.1254528,-78.4302804,36.0
1449,495,42083.0,116400.0,609,609,35.0425315,-78.3404209,35.0
495,262,24667.0,90000.0,335,335,35.00556829999999,-78.3282432,62.0
835,315,14886.0,76700.0,342,342,35.001816299999994,-78.3349382,50.0
2021,830,46859.0,94700.0,951,951,35.2626792,-78.5301416,26.0
1893,752,60000.0,151800.0,766,766,35.2329771,-78.559249,26.0
1064,378,56768.0,89200.0,466,466,35.1565044,-78.5095467,30.0
2617,814,47885.0,118100.0,958,958,35.1292459,-78.588151,32.0
1185,497,55956.0,,724,724,34.7507503,-78.2483728,25.0
1296,484,41250.0,70800.0,523,523,34.661916600000005,-78.2522725,36.0
1052,466,38611.0,68600.0,640,640,35.0125119,-78.5049105,42.0
1817,631,44063.0,80000.0,729,729,34.9482456,-78.2687041,32.0
1409,550,43446.0,103400.0,616,616,34.9455518,-78.35172179999999,27.0
1014,308,21265.0,78900.0,349,349,34.73438779999999,-78.3632802,27.0
774,361,26172.0,74900.0,454,454,34.9396992,-78.4815397,41.0
1514,677,38598.0,173200.0,734,734,35.0136297,-78.35923199999999,41.0
1207,477,53819.0,133600.0,498,498,35.0137025,-78.3125433,46.0
1564,475,28508.0,49000.0,591,591,35.1709097,-78.2370218,45.0
1297,577,39321.0,70500.0,612,612,34.9536388,-78.17248199999999,26.0
1270,575,31295.0,70300.0,779,779,35.220949499999996,-78.2873702,48.0
1743,611,57396.0,86500.0,819,819,35.2138713,-78.4462853,43.0
2496,792,35169.0,76300.0,836,836,35.191795,-78.5924833,28.0
1848,657,53504.0,84800.0,791,791,35.072228499999994,-78.58542879999999,34.0
1957,769,33034.0,90600.0,1000,1000,34.842338,-78.30130909999998,38.0
713,279,35536.0,97500.0,342,342,34.7916623,-79.4779693,56.0
1244,472,25313.0,68200.0,550,550,34.7977005,-79.4476141,45.0
871,361,14256.0,34200.0,470,470,34.7706722,-79.45612209999999,75.0
1339,475,42601.0,83600.0,656,656,34.9143273,-79.37680809999999,46.0
1642,421,48897.0,85900.0,434,434,34.7455561,-79.4409112,36.0
1513,678,45526.0,59700.0,841,841,34.9441615,-79.4649771,28.0
1693,711,42264.0,59900.0,808,808,34.8376765,-79.3848105,26.0
1511,582,43611.0,79800.0,664,664,34.89536210000001,-79.5103333,36.0
2417,922,42031.0,75100.0,988,988,34.6962891,-79.4499611,30.0
784,320,37031.0,78500.0,381,381,34.828117,-79.5421213,43.0
1598,596,44394.0,125000.0,749,749,34.7235886,-79.54701419999999,37.0
1127,462,32250.0,65000.0,564,564,34.7880151,-79.62784079999999,38.0
1239,485,65052.0,117400.0,518,518,34.722674700000006,-79.4908875,39.0
2155,839,48750.0,112800.0,906,906,34.7341446,-79.51328559999999,42.0
1825,748,52222.0,128000.0,891,891,34.761528000000006,-79.50490129999999,30.0
548,285,54712.0,111600.0,363,363,34.771209899999995,-79.4874312,50.0
1882,633,26902.0,175000.0,716,716,34.7726061,-79.47163940000002,54.0
1176,477,14628.0,54000.0,577,577,34.7898146,-79.440669,48.0
708,279,25096.0,45500.0,327,327,34.771068,-79.44163990000001,63.0
1021,329,23589.0,75700.0,403,403,34.7803488,-79.4425875,46.0
802,290,14573.0,61200.0,378,378,34.761708399999996,-79.4631571,47.0
484,249,29904.0,81500.0,321,321,34.8140813,-79.4729036,43.0
2381,266,52222.0,102000.0,291,291,34.781341999999995,-79.3777859,32.0
1153,423,44899.0,83400.0,449,449,34.79247120000001,-79.5438443,44.0
2222,848,32598.0,61100.0,903,903,34.8246216,-79.58771440000001,29.0
743,460,14755.0,,526,526,34.760622,-79.47420629999999,46.0
